,B_VALUE,C_VALUE,BETA1,BETA2,BETA3,BETA4,transactions,ETH,hours,days
189,100.0,200.0,1.0,0.05,10.0,0.01,41.0,0.09520487,3467.0,144.45833333333334
190,100.0,200.0,1.0,0.05,10.0,0.05,38.0,0.08823866,3033.0,126.375
191,100.0,200.0,1.0,0.05,10.0,0.1,31.0,0.07198417,2700.0,112.5
192,100.0,200.0,1.0,0.05,11.0,0.01,40.0,0.0928828,3753.0,156.375
193,100.0,200.0,1.0,0.05,11.0,0.05,35.0,0.08127245,3220.0,134.16666666666666
194,100.0,200.0,1.0,0.05,11.0,0.1,35.0,0.08127245,3229.0,134.54166666666666
195,100.0,200.0,1.0,0.05,12.0,0.01,39.0,0.09056073,3537.0,147.375
196,100.0,200.0,1.0,0.05,12.0,0.05,37.0,0.08591659,2619.0,109.125
197,100.0,200.0,1.0,0.05,12.0,0.1,33.0,0.07662831,3118.0,129.91666666666666
198,100.0,200.0,1.0,0.05,13.0,0.01,42.0,0.09752694,3495.0,145.625
199,100.0,200.0,1.0,0.05,13.0,0.05,38.0,0.08823866,3340.0,139.16666666666666
200,100.0,200.0,1.0,0.05,13.0,0.1,39.0,0.09056073,2925.0,121.875
201,100.0,200.0,1.0,0.05,14.0,0.01,46.0,0.10681522,2899.0,120.79166666666667
202,100.0,200.0,1.0,0.05,14.0,0.05,38.0,0.08823866,3403.0,141.79166666666666
203,100.0,200.0,1.0,0.05,14.0,0.1,39.0,0.09056073,3475.0,144.79166666666666
204,100.0,200.0,1.0,0.05,15.0,0.01,42.0,0.09752694,3595.0,149.79166666666666
205,100.0,200.0,1.0,0.05,15.0,0.05,40.0,0.0928828,3656.0,152.33333333333334
206,100.0,200.0,1.0,0.05,15.0,0.1,41.0,0.09520487,3430.0,142.91666666666666
207,100.0,200.0,1.0,0.05,16.0,0.01,43.0,0.09984901,3348.0,139.5
208,100.0,200.0,1.0,0.05,16.0,0.05,42.0,0.09752694,3262.0,135.91666666666666
209,100.0,200.0,1.0,0.05,16.0,0.1,43.0,0.09984901,3396.0,141.5
210,100.0,200.0,1.0,0.05,17.0,0.01,40.0,0.0928828,3361.0,140.04166666666666
211,100.0,200.0,1.0,0.05,17.0,0.05,42.0,0.09752694,3409.0,142.04166666666666
212,100.0,200.0,1.0,0.05,17.0,0.1,41.0,0.09520487,3385.0,141.04166666666666
213,100.0,200.0,1.0,0.05,18.0,0.01,39.0,0.09056073,3781.0,157.54166666666666
214,100.0,200.0,1.0,0.05,18.0,0.05,41.0,0.09520487,3316.0,138.16666666666666
215,100.0,200.0,1.0,0.05,18.0,0.1,41.0,0.09520487,3365.0,140.20833333333334
216,100.0,200.0,1.0,0.1,10.0,0.01,23.0,0.05340761,1444.0,60.166666666666664
217,100.0,200.0,1.0,0.1,10.0,0.05,21.0,0.04876347,1297.0,54.041666666666664
218,100.0,200.0,1.0,0.1,10.0,0.1,18.0,0.04179726,1514.0,63.083333333333336
219,100.0,200.0,1.0,0.1,11.0,0.01,19.0,0.04411933,2195.0,91.45833333333333
220,100.0,200.0,1.0,0.1,11.0,0.05,19.0,0.04411933,1659.0,69.125
221,100.0,200.0,1.0,0.1,11.0,0.1,18.0,0.04179726,1435.0,59.791666666666664
222,100.0,200.0,1.0,0.1,12.0,0.01,21.0,0.04876347,1565.0,65.20833333333333
223,100.0,200.0,1.0,0.1,12.0,0.05,21.0,0.04876347,1821.0,75.875
224,100.0,200.0,1.0,0.1,12.0,0.1,20.0,0.0464414,1549.0,64.54166666666667
225,100.0,200.0,1.0,0.1,13.0,0.01,21.0,0.04876347,1812.0,75.5
226,100.0,200.0,1.0,0.1,13.0,0.05,20.0,0.0464414,1750.0,72.91666666666667
227,100.0,200.0,1.0,0.1,13.0,0.1,18.0,0.04179726,1775.0,73.95833333333333
228,100.0,200.0,1.0,0.1,14.0,0.01,22.0,0.05108554,1546.0,64.41666666666667
229,100.0,200.0,1.0,0.1,14.0,0.05,23.0,0.05340761,1621.0,67.54166666666667
230,100.0,200.0,1.0,0.1,14.0,0.1,20.0,0.0464414,1710.0,71.25
231,100.0,200.0,1.0,0.1,15.0,0.01,22.0,0.05108554,1675.0,69.79166666666667
232,100.0,200.0,1.0,0.1,15.0,0.05,23.0,0.05340761,1629.0,67.875
233,100.0,200.0,1.0,0.1,15.0,0.1,23.0,0.05340761,1902.0,79.25
234,100.0,200.0,1.0,0.1,16.0,0.01,24.0,0.05572968,1776.0,74.0
235,100.0,200.0,1.0,0.1,16.0,0.05,20.0,0.0464414,1914.0,79.75
236,100.0,200.0,1.0,0.1,16.0,0.1,20.0,0.0464414,1755.0,73.125
237,100.0,200.0,1.0,0.1,17.0,0.01,20.0,0.0464414,1831.0,76.29166666666667
238,100.0,200.0,1.0,0.1,17.0,0.05,20.0,0.0464414,1766.0,73.58333333333333
239,100.0,200.0,1.0,0.1,17.0,0.1,23.0,0.05340761,1615.0,67.29166666666667
240,100.0,200.0,1.0,0.1,18.0,0.01,20.0,0.0464414,2194.0,91.41666666666667
241,100.0,200.0,1.0,0.1,18.0,0.05,23.0,0.05340761,1798.0,74.91666666666667
242,100.0,200.0,1.0,0.1,18.0,0.1,24.0,0.05572968,1326.0,55.25
243,100.0,250.0,1.0,0.01,10.0,0.01,193.0,0.44815951,15732.0,655.5
244,100.0,250.0,1.0,0.01,10.0,0.05,126.0,0.29258082,10147.0,422.7916666666667
245,100.0,250.0,1.0,0.01,10.0,0.1,88.0,0.20434216,6735.0,280.625
246,100.0,250.0,1.0,0.01,11.0,0.01,192.0,0.44583744,16639.0,693.2916666666666
247,100.0,250.0,1.0,0.01,11.0,0.05,136.0,0.31580152,10506.0,437.75
248,100.0,250.0,1.0,0.01,11.0,0.1,98.0,0.22756286,7925.0,330.2083333333333
249,100.0,250.0,1.0,0.01,12.0,0.01,196.0,0.45512572,15698.0,654.0833333333334
250,100.0,250.0,1.0,0.01,12.0,0.05,147.0,0.34134429,12161.0,506.7083333333333
251,100.0,250.0,1.0,0.01,12.0,0.1,113.0,0.26239391,9026.0,376.0833333333333
252,100.0,250.0,1.0,0.01,13.0,0.01,207.0,0.48066849,16914.0,704.75
253,100.0,250.0,1.0,0.01,13.0,0.05,159.0,0.36920913,13919.0,579.9583333333334
254,100.0,250.0,1.0,0.01,13.0,0.1,127.0,0.29490289,11168.0,465.3333333333333
255,100.0,250.0,1.0,0.01,14.0,0.01,205.0,0.47602435,17520.0,730.0
256,100.0,250.0,1.0,0.01,14.0,0.05,185.0,0.42958295,15006.0,625.25
257,100.0,250.0,1.0,0.01,14.0,0.1,154.0,0.35759878,13723.0,571.7916666666666
258,100.0,250.0,1.0,0.01,15.0,0.01,219.0,0.50853333,17341.0,722.5416666666666
259,100.0,250.0,1.0,0.01,15.0,0.05,204.0,0.47370228,17195.0,716.4583333333334
260,100.0,250.0,1.0,0.01,15.0,0.1,194.0,0.45048158,15706.0,654.4166666666666
261,100.0,250.0,1.0,0.01,16.0,0.01,219.0,0.50853333,18218.0,759.0833333333334
262,100.0,250.0,1.0,0.01,16.0,0.05,220.0,0.5108554,17308.0,721.1666666666666
263,100.0,250.0,1.0,0.01,16.0,0.1,212.0,0.49227884,17915.0,746.4583333333334
264,100.0,250.0,1.0,0.01,17.0,0.01,216.0,0.50156712,17900.0,745.8333333333334
265,100.0,250.0,1.0,0.01,17.0,0.05,217.0,0.50388919,17559.0,731.625
266,100.0,250.0,1.0,0.01,17.0,0.1,208.0,0.48299056,18229.0,759.5416666666666
267,100.0,250.0,1.0,0.01,18.0,0.01,217.0,0.50388919,17467.0,727.7916666666666
268,100.0,250.0,1.0,0.01,18.0,0.05,212.0,0.49227884,18673.0,778.0416666666666
269,100.0,250.0,1.0,0.01,18.0,0.1,218.0,0.50621126,17634.0,734.75
270,100.0,250.0,1.0,0.05,10.0,0.01,43.0,0.09984901,3649.0,152.04166666666666
271,100.0,250.0,1.0,0.05,10.0,0.05,37.0,0.08591659,2760.0,115.0
272,100.0,250.0,1.0,0.05,10.0,0.1,32.0,0.07430624,2833.0,118.04166666666667
273,100.0,250.0,1.0,0.05,11.0,0.01,44.0,0.10217108,3730.0,155.41666666666666
274,100.0,250.0,1.0,0.05,11.0,0.05,39.0,0.09056073,3280.0,136.66666666666666
275,100.0,250.0,1.0,0.05,11.0,0.1,34.0,0.07895038,3026.0,126.08333333333333
276,100.0,250.0,1.0,0.05,12.0,0.01,42.0,0.09752694,3519.0,146.625
277,100.0,250.0,1.0,0.05,12.0,0.05,40.0,0.0928828,3262.0,135.91666666666666
278,100.0,250.0,1.0,0.05,12.0,0.1,38.0,0.08823866,2763.0,115.125
279,100.0,250.0,1.0,0.05,13.0,0.01,42.0,0.09752694,3911.0,162.95833333333334
280,100.0,250.0,1.0,0.05,13.0,0.05,41.0,0.09520487,3337.0,139.04166666666666
281,100.0,250.0,1.0,0.05,13.0,0.1,39.0,0.09056073,3083.0,128.45833333333334
282,100.0,250.0,1.0,0.05,14.0,0.01,40.0,0.0928828,3869.0,161.20833333333334
283,100.0,250.0,1.0,0.05,14.0,0.05,40.0,0.0928828,3709.0,154.54166666666666
284,100.0,250.0,1.0,0.05,14.0,0.1,41.0,0.09520487,3647.0,151.95833333333334
285,100.0,250.0,1.0,0.05,15.0,0.01,43.0,0.09984901,3459.0,144.125
286,100.0,250.0,1.0,0.05,15.0,0.05,41.0,0.09520487,3969.0,165.375
287,100.0,250.0,1.0,0.05,15.0,0.1,42.0,0.09752694,3466.0,144.41666666666666
