,B_VALUE,C_VALUE,BETA1,BETA2,BETA3,BETA4,transactions,ETH,hours,days
231,100.0,250.0,1.0,0.01,15.0,0.01,215.0,0.49924505,17599.0,733.2916666666666
232,100.0,250.0,1.0,0.01,15.0,0.05,200.0,0.464414,16545.0,689.375
233,100.0,250.0,1.0,0.01,15.0,0.1,183.0,0.42493881,15774.0,657.25
234,100.0,250.0,1.0,0.01,16.0,0.01,221.0,0.51317747,18754.0,781.4166666666666
235,100.0,250.0,1.0,0.01,16.0,0.05,212.0,0.49227884,18022.0,750.9166666666666
236,100.0,250.0,1.0,0.01,16.0,0.1,205.0,0.47602435,18353.0,764.7083333333334
237,100.0,250.0,1.0,0.01,17.0,0.01,219.0,0.50853333,17223.0,717.625
238,100.0,250.0,1.0,0.01,17.0,0.05,215.0,0.49924505,18489.0,770.375
239,100.0,250.0,1.0,0.01,17.0,0.1,218.0,0.50621126,17211.0,717.125
240,100.0,250.0,1.0,0.05,10.0,0.01,44.0,0.10217108,3628.0,151.16666666666666
241,100.0,250.0,1.0,0.05,10.0,0.05,40.0,0.0928828,2913.0,121.375
242,100.0,250.0,1.0,0.05,10.0,0.1,34.0,0.07895038,2524.0,105.16666666666667
243,100.0,250.0,1.0,0.05,11.0,0.01,41.0,0.09520487,3588.0,149.5
244,100.0,250.0,1.0,0.05,11.0,0.05,38.0,0.08823866,3048.0,127.0
245,100.0,250.0,1.0,0.05,11.0,0.1,35.0,0.08127245,3104.0,129.33333333333334
246,100.0,250.0,1.0,0.05,12.0,0.01,46.0,0.10681522,2960.0,123.33333333333333
247,100.0,250.0,1.0,0.05,12.0,0.05,41.0,0.09520487,2957.0,123.20833333333333
248,100.0,250.0,1.0,0.05,12.0,0.1,36.0,0.08359452,3187.0,132.79166666666666
249,100.0,250.0,1.0,0.05,13.0,0.01,44.0,0.10217108,3165.0,131.875
250,100.0,250.0,1.0,0.05,13.0,0.05,42.0,0.09752694,3150.0,131.25
251,100.0,250.0,1.0,0.05,13.0,0.1,38.0,0.08823866,3151.0,131.29166666666666
252,100.0,250.0,1.0,0.05,14.0,0.01,41.0,0.09520487,3468.0,144.5
